Code,Genus,Species,Voucher,Country,Herbarium,ITS,ITSname,rps16,rps16names,ndhF,ndhFnames
SC024,Scleria,pulchella,Hess H.&E. 52/1745,Angola,GENT,MG708518,Scleria_pulchella_MG708518_Angola,MG708761,Scleria_pulchella_MG708761_Angola,MG708648,Scleria_pulchella_MG708648_Angola
SC241,Scleria,pulchella," Bidgood,  S. & al. 5723", Tanzania,MO,LN886895,Scleria_species_LN886895_Tanzania,LN887124,Scleria_pulchella_LN887124_Tanzania,LN887012,Scleria_species_LN887012_Tanzania
SC448,Scleria,pulchella,Hess H.&E. 52/1745,Angola,GENT,MG708626,Scleria_pulchella_MG708626_Angola,MG708859,Scleria_pulchella_MG708859_Angola,MG708750,Scleria_pulchella_MG708750_Angola
SC053,Scleria,purdiei,Beck St. G. 13542,Bolivia,GENT,LN886820,Scleria_purdiei_LN886820_Bolivia,LN887049,Scleria_purdiei_LN887049_Bolivia,LN886931,Scleria_purdiei_LN886931_Bolivia
SC094,Scleria,purpurascens, Bart De Wilde & al. 02-177, Thailand,TCD,LN886835,Scleria_purpurascens_LN886835_Thailand,LN887063,Scleria_purpurascens_LN887063_Thailand,LN886946,Scleria_purpurascens_LN886946_Thailand
SC447,Scleria,pusilla,Jansen-Jacobs 2637,Guyana,GENT,MG708625,Scleria_pusilla_MG708625_Guyana,MG708858,Scleria_pusilla_MG708858_Guyana,MG708749,Scleria_pusilla_MG708749_Guyana
JG18,Scleria,racemosa,Desfayes 95-1211,Madagascar,G,JG18,Scleria_racemosa_JG18_Madagascar,JG18,Scleria_racemosa_JG18_Madagascar,JG18,Scleria_racemosa_JG18_Madagascar
SC109,Scleria,racemosa, Billiet F. S3802, Africa,BR,LN886846,Scleria_racemosa_LN886846_Africa,LN887073,Scleria_racemosa_LN887073_Africa,LN886957,Scleria_racemosa_LN886957_Africa
SC007,Scleria,rehmannii,Hess H.&E. 51/161,Angola,GENT,MG708508,Scleria_rehmannii_MG708508_Angola,,,MG708636,Scleria_rehmannii_MG708636_Angola
SC009,Scleria,rehmannii,Laegaard S. 15729,Zimbabwe,GENT,LN886808,Scleria_rehmannii_LN886808_Zimbabwe,LN887037,Scleria_rehmannii_LN887037_Zimbabwe,LN886919,Scleria_rehmannii_LN886919_Zimbabwe
SC358,Scleria,rehmannii,Bauters K. 2015-107,Zambia,GENT,MG708588,Scleria_rehmannii_MG708588_Zambia,MG708826,Scleria_rehmannii_MG708826_Zambia,MG708714,Scleria_rehmannii_MG708714_Zambia
SC359,Scleria,rehmannii,Bauters K. 2015-109,Zambia,GENT,MG708589,Scleria_rehmannii_MG708589_Zambia,MG708827,Scleria_rehmannii_MG708827_Zambia,MG708715,Scleria_rehmannii_MG708715_Zambia
SC361,Scleria,rehmannii,Bauters K. 2015-113,Zambia,GENT,MG708590,Scleria_rehmannii_MG708590_Zambia,,,MG708716,Scleria_rehmannii_MG708716_Zambia
SC363,Scleria,rehmannii,Bauters K. 2015-118,Zambia,GENT,MG708592,Scleria_rehmannii_MG708592_Zambia,,,MG708718,Scleria_rehmannii_MG708718_Zambia
SC369,Scleria,rehmannii,Bauters K. 2015-140,Zambia,GENT,MG708597,Scleria_rehmannii_MG708597_Zambia,,,MG708723,Scleria_rehmannii_MG708723_Zambia
SC192,Scleria,reticularis, Bauters K. & Coenen J. 2013-050, U.S.A.,GENT,LN886878,Scleria_reticularis_LN886878_USA,LN887109,Scleria_reticularis_LN887109_USA,LN886994,Scleria_reticularis_LN886994_USA
SC304,Scleria,richardsiae,Faden R.B. et al. 96/245,Tanzania,BR,MG708564,Scleria_richardsiae_MG708564_Tanzania,MG708803,Scleria_richardsiae_MG708803_Tanzania,MG708693,Scleria_richardsiae_MG708693_Tanzania
SC308,Scleria,richardsiae,Robinson 3099,Zambia,BR,MG708568,Scleria_richardsiae_MG708568_Zambia,MG708807,Scleria_richardsiae_MG708807_Zambia,MG708697,Scleria_richardsiae_MG708697_Zambia
SC331,Scleria,richardsiae,R. B. Faden et al. 96/245,Tanzania,BR,MG708580,Scleria_richardsiae_MG708580_Tanzania,MG708817,Scleria_richardsiae_MG708817_Tanzania,,
SC334,Scleria,richardsiae,H.M. Richards 14254,Tanzania,NY,,,MG708819,Scleria_richardsiae_MG708819_Tanzania,MG708707,Scleria_richardsiae_MG708707_Tanzania
SC305,Scleria,robinsoniana,Gomar A.S. 343,Guinea,BR,MG708565,Scleria_robinsoniana_MG708565_Guinea,MG708804,Scleria_robinsoniana_MG708804_Guinea,MG708694,Scleria_robinsoniana_MG708694_Guinea
JG12,Scleria,rosea,SDR460,Madagascar,K,JG12,Scleria_rosea_JG12_Madagascar,JG12,Scleria_rosea_JG12_Madagascar,JG12,Scleria_rosea_JG12_Madagascar
SC043,Scleria,rugosa, De Dapper M. 81/1, Indonesia,GENT,LN886817,Scleria_rugosa_LN886817_Indonesia,LN887046,Scleria_rugosa_LN887046_Indonesia,LN886928,Scleria_rugosa_LN886928_Indonesia
JG03,Scleria,rutenbergiana,P01668985,Madagascar,P,JG03,Scleria_rutenbergiana_JG03_Madagascar,JG03,Scleria_rutenbergiana_JG03_Madagascar,JG03,Scleria_rutenbergiana_JG03_Madagascar
SC088,Scleria,scabra, Luce¤o M. 282, Brazil,GENT,LN886831,Scleria_scabra_LN886831_Brazil,LN887059,Scleria_scabra_LN887059_Brazil,LN886942,Scleria_scabra_LN886942_Brazil
SC242,Scleria,schiedeana, Tellez O.V. 12761, Mexico,MO,LN886896,Scleria_schiedenana_LN886896_Mexico,LN887125,Scleria_schiedeana_LN887125_Mexico,LN887013,Scleria_schiedeana_LN887013_Mexico
SC090,Scleria,schimperiana, Friis I. & al. 8034, Ethiopia,GENT,LN886832,Scleria_schimperiana_LN886832_Ethiopia,LN887060,Scleria_schimperiana_LN887060_Ethiopia,LN886943,Scleria_schimperiana_LN886943_Ethiopia
SC091,Scleria,schimperiana, Smith P.A. 4309, Botswana,GENT,LN886833,Scleria_schimperiana_LN886833_Botswana,LN887061,Scleria_schimperiana_LN887061_Botswana,LN886944,Scleria_schimperiana_LN886944_Botswana
SC265,Scleria,schliebenii,Reekmans M. 6830,Burundi,GENT,LN886904,Scleria_bulbifera_LN886904_Burundi,LN887134,Scleria_bulbifera_LN887134_Burundi,LN887022,Scleria_schliebenii_LN887022_Burundi
SC306,Scleria,schliebenii,Senterre et al. 4740,Democratic Republic of Congo,BR,MG708566,Scleria_schliebenii_MG708566_DRC,MG708805,Scleria_bulbifera_MG708805_DRC,MG708695,Scleria_schliebenii_MG708695_DRC
SC355,Scleria,schliebenii,Bauters K. 2015-071,Zambia,GENT,MG708587,Scleria_schliebenii_MG708587_Zambia,MG708825,Scleria_schliebenii_MG708825_Zambia,MG708713,Scleria_schliebenii_MG708713_Zambia
SC433,Scleria,schliebenii,Richards M. 18887,Zambia,GENT,MG708612,Scleria_schliebenii_MG708612_Zambia,MG708844,Scleria_schliebenii_MG708844_Zambia,MG708735,Scleria_schliebenii_MG708735_Zambia
SC100,Scleria,scrobiculata, Bart De Wilde & al. 02-99, Thailand,TCD,LN886839,Scleria_scrobiculata_LN886839_Thailand,LN887066,Scleria_scrobiculata_LN887066_Thailand,LN886950,Scleria_scrobiculata_LN886950_Thailand
SC105,Scleria,secans, Bart De Wilde 10, Guiana,TCD,LN886842,Scleria_secans_LN886842_Guyana,LN887069,Scleria_secans_LN887069_Guyana,LN886953,Scleria_secans_LN886953_Guyana
SC244,Scleria,skutchii, Grant J.R. & Rundell J.R. 92-02062, Costa Rica,MO,LN886897,Scleria_skutchii_LN886897_Costa_Rica,LN887126,Scleria_skutchii_LN887126_Costa_Rica,LN887014,Scleria_skutchii_LN887014_Costa_Rica
SC040,Scleria,sobolifer,Reid C. 531,South Africa,GENT,LN886814,Scleria_sobolifer_LN886814_South_Africa,LN887043,Scleria_sobolifer_LN887043_South_Africa,LN886925,Scleria_sobolifer_LN886925_South_Africa
SC146,Scleria,sororia, Tenorio P.L. & al. 14638, Guatemala,GENT,LN886864,Scleria_sororia_LN886864_Guatemala,LN887091,Scleria_sororia_LN887091_Guatemala,LN886976,Scleria_sororia_LN886976_Guatemala
SC311,Scleria,ankaratrensis,Larridon et al. 2010-0340,Madagascar,GENT,MG708570,Scleria_ankaratrensis_MG708570_Madagascar,MG708809,Scleria_ankaratrensis_MG708809_Madagascar,MG708699,Scleria_ankaratrensis_MG708699_Madagascar
SC008,Scleria,species1,Hess H.&E. 52/597,Angola,GENT,LN886807,Scleria_angustifolia_LN886807_Angola,LN887036,Scleria_species_LN887036_Angola,LN886918,Scleria_species_LN886918_Angola
SC126,Scleria,species1,Hess H.&E. 52/598,Zambia,GENT,MG708538,Scleria_species_MG708538_Zambia,MG708777,Scleria_species_MG708777_Zambia,MG708663,Scleria_species_MG708663_Zambia
JG24,Scleria,species2,PJ 2128,Madagascar,K,JG24,Scleria_species_sect_Abortivae_JG24_Madagascar,,,JG24,Scleria_species_sect_Abortivae_JG24_Madagascar
SC259,Scleria,sphacelata, Bruhl J.J. 2467, Australia,NE,LN886903,Scleria_sphacelata_LN886903_Australia,LN887132,Scleria_sphacelata_LN887132_Australia,LN887020,Scleria_sphacelata_LN887020_Australia
SC277,Scleria,sphacelata, Michell C.R. 3026, Australia,MO,LN886911,Scleria_sphacelata_LN886911_Australia,LN887141,Scleria_sphacelata_LN887141_Australia,LN887029,Scleria_sphacelata_LN887029_Australia
SC041,Scleria,spicata,Harley R.M. 24658,Brazil,GENT,LN886815,Scleria_spicata_LN886815_Brazil,LN887044,Scleria_spicata_LN887044_Brazil,LN886926,Scleria_spicata_LN886926_Brazil
SC246,Scleria,spiciformis, Harris D.J. 8223, Gabon,MO,LN886898,Scleria_spiciformis_LN886898_Gabon,LN887127,Scleria_spiciformis_LN887127_Gabon,LN887015,Scleria_spiciformis_LN887015_Gabon
SC162,Scleria,splitgerberiana, Gottsberger G. & D”ring J. 126-19186, Brazil,GENT,LN886869,Scleria_splitgerberiana_LN886869_Brazil,LN887096,Scleria_splitgerberiana_LN887096_Brazil,LN886981,Scleria_splitgerberiana_LN886981_Brazil
SC163,Scleria,sprucei, Saldias M. & al. 2703, Bolivia,GENT,LN886870,Scleria_sprucei_LN886870_Bolivia,LN887097,Scleria_sprucei_LN887097_Bolivia,LN886982,Scleria_sprucei_LN886982_Bolivia
SC164,Scleria,staheliana, Cremers G. 12187, French Guyana,GENT,LN886871,Scleria_staheliana_LN886871_French_Guiana,LN887098,Scleria_staheliana_LN887098_French_Guiana,LN886983,Scleria_staheliana_LN886983_French_Guiana
SC124,Scleria,suaveolens,Smith P. & Chishala C. 1844,Zambia,GENT,MG708537,Scleria_suaveolens_MG708537_Zambia,MG708776,Scleria_suaveolens_MG708776_Zambia,MG708662,Scleria_suaveolens_MG708662_Zambia
SC350,Scleria,suaveolens,Bauters K. 2015-053,Zambia,GENT,MG708585,Scleria_suaveolens_MG708585_Zambia,MG708823,Scleria_suaveolens_MG708823_Zambia,MG708711,Scleria_suaveolens_MG708711_Zambia
SC371,Scleria,suaveolens,Bauters K. 2015-150,Zambia,GENT,MG708598,Scleria_suaveolens_MG708598_Zambia,MG708830,Scleria_suaveolens_MG708830_Zambia,MG708724,Scleria_suaveolens_MG708724_Zambia
SC097,Scleria,sumatrensis, Bart De Wilde & al. 02-198, Thailand,TCD,LN886837,Scleria_sumatrensis_LN886837_Thailand,LN887065,Scleria_sumatrensis_LN887065_Thailand,LN886948,Scleria_sumatrensis_LN886948_Thailand
SC044,Scleria,tenella,Cremers G. & Granville J.J. 13978,French Guiana,GENT,MG708530,Scleria_tenella_MG708530_French_Guiana,MG708768,Scleria_tenella_MG708768_French_Guiana,MG708654,Scleria_tenella_MG708654_French_Guiana
SC045,Scleria,tenella,Maas P.J.M.; Koek-N J; et al. 7211,French Guiana,GENT,MG708531,Scleria_tenella_MG708531_French_Guiana,MG708769,Scleria_tenella_MG708769_French_Guiana,MG708655,Scleria_tenella_MG708655_French_Guiana
SC290,Scleria,tenella,Ja-jar 4691,Guyana,GENT,MG708554,Scleria_tenella_MG708554_Guyana,MG708793,Scleria_tenella_MG708793_Guyana,MG708682,Scleria_tenella_MG708682_Guyana
SC167,Scleria,tepuiensis, Gr”ger A. 1127, Venezuela,GENT,LN886873,Scleria_tepuiensis_LN886873_Venezuela,LN887100,Scleria_tepuiensis_LN887100_Venezuela,LN886985,Scleria_tepuiensis_LN886985_Venezuela
SC055,Scleria,terrestris, Goetghebeur P. 12129, Philippines,GENT,LN886822,Scleria_terrestris_LN886822_Philippines,LN887051,Scleria_terrestris_LN887051_Philippines,LN886933,Scleria_terrestris_LN886933_Philippines
SC166,Scleria,tessellata, De Smet K. 77/14, Burkina Faso,GENT,LN886872,Scleria_tessellata_LN886872_Burkina_Faso,LN887099,Scleria_tessellata_LN887099_Burkina_Faso,LN886984,Scleria_tessellata_LN886984_Burkina_Faso
SC278,Scleria,testacea, Schessl M. 3006, Brazil,GENT,LN886912,Scleria_testacea_LN886912_Brazil,LN887142,Scleria_testacea_LN887142_Brazil,LN887030,Scleria_testacea_LN887030_Brazil
SC098,Scleria,tonkinensis, Bart De Wilde & al. 02-173, Thailand,GENT,LN886838,Scleria_tonkinensis_LN886838_Thailand,,,LN886949,Scleria_tonkinensis_LN886949_Thailand
SC168,Scleria,transvaalensis, Reid C. 1815, South-Africa,GENT,LN886874,Scleria_transvaalensis_LN886874_South_Africa,LN887101,Scleria_transvaalensis_LN887101_South_Africa,LN886986,Scleria_transvaalensis_LN886986_South_Africa
JG21,Scleria,trialata,Randriamampionona 328,Madagascar,K,JG21,Scleria_trialata_JG21_Madagascar,,,,
SC450,Scleria,tricholepis,Drummond 7438,Zambia,L,MG708628,Scleria_tricholepis_MG708628_Zambia,MG708861,Scleria_tricholepis_MG708861_Zambia,,
SC266,Scleria,tricristata,Bidgood S. et al. 6083,Tanzania,MO,LN886905,Scleria_tricristata_LN886905_Tanzania,LN887135,Scleria_tricristata_LN887135_Tanzania,LN887023,Scleria_tricristata_LN887023_Tanzania
SC267,Scleria,tricristata,Bidgood S. et al. 5846,Tanzania,MO,LN886906,Scleria_tricristata_LN886906_Tanzania,LN887136,Scleria_tricristata_LN887136_Tanzania,LN887024,Scleria_tricristata_LN887024_Tanzania
SC249,Scleria,triglomerata, Kral R. 94078, U.S.A.,MO,LN886899,Scleria_triglomerata_LN886899_USA,LN887128,Scleria_triglomerata_LN887128_USA,LN887016,Scleria_triglomerata_LN887016_USA
SC250,Scleria,unguiculata," Bidgood,  S. & al. 5577", Tanzania,MO,LN886900,Scleria_unguiculata_LN886900_Tanzania,LN887129,Scleria_unguiculata_LN887129_Tanzania,LN887017,Scleria_unguiculata_LN887017_Tanzania
SC171,Scleria,verrucosa, Hepper F.N. & Maley J. 7752, Ivory Coast,GENT,LN886875,Scleria_verrucosa_LN886875_Ivory_Coast,LN887102,Scleria_verrucosa_LN887102_Ivory_Coast,LN886987,Scleria_verrucosa_LN886987_Ivory_Coast
SC319,Scleria,verticillata,Umbach 198,USA,GENT,MG708574,Scleria_verticillata_MG708574_USA,MG708812,Scleria_verticillata_MG708812_USA,,
SC301,Scleria,veseyfitzgeraldii,Smith 3774,Botswana,GENT,MG708563,Scleria_veseyfitzgeraldii_MG708563_Botswana,MG708801,Scleria_veseyfitzgeraldii_MG708801_Botswana,MG708691,Scleria_veseyfitzgeraldii_MG708691_Botswana
SC307,Scleria,veseyfitzgeraldii,Robinson 3537,Zambia,BR,MG708567,Scleria_veseyfitzgeraldii_MG708567_Zambia,MG708806,Scleria_veseyfitzgeraldii_MG708806_Zambia,MG708696,Scleria_veseyfitzgeraldii_MG708696_Zambia
SC434,Scleria,veseyfitzgeraldii,Robinson 5513,Zambia,GENT,MG708613,Scleria_veseyfitzgeraldii_MG708613_Zambia,MG708845,Scleria_veseyfitzgeraldii_MG708845_Zambia,MG708736,Scleria_veseyfitzgeraldii_MG708736_Zambia
SC118,Scleria,virgata,Irwin H.S. et al. 20762,Brazil,GENT,LN886849,Scleria_virgata_LN886849_Brazil,LN887076,Scleria_virgata_LN887076_Brazil,LN886960,Scleria_virgata_LN886960_Brazil
SC172,Scleria,virgata,Vanzela A.L.L. 2,Brazil,GENT,MG708541,Scleria_virgata_MG708541_Brazil,MG708780,Scleria_virgata_MG708780_Brazil,MG708667,Scleria_virgata_MG708667_Brazil
SC251,Scleria,vogelii, Jongkind C.C.H. 8509, Liberia,MO,LN886901,Scleria_vogelii_LN886901_Liberia,LN887130,Scleria_vogelii_LN887130_Liberia,LN887018,Scleria_vogelii_LN887018_Liberia
SC006,Scleria,welwitschii,"Bamps, Symoens, Vanden Berghen 542",Zimbabwe,GENT,MG708507,Scleria_welwitschii_MG708507_Zimbabwe,,,MG708635,Scleria_welwitschii_MG708635_Zimbabwe
SC021,Scleria,welwitschii,Hilliard O.M. & Burtt B.L. 10089,South Africa,GENT,MG708515,Scleria_welwitschii_MG708515_South_Africa,,,MG708645,Scleria_welwitschii_MG708645_South_Africa
SC389,Scleria,welwitschii,Bauters K. 2015-198,Zambia,GENT,MG708609,Scleria_welwitschii_MG708609_Zambia,MG708842,Scleria_welwitschii_MG708842_Zambia,,
SC442,Scleria,welwitschii,Robinson 5714,Zambia,GENT,MG708620,Scleria_welwitschii_MG708620_Zambia,MG708853,Scleria_welwitschii_MG708853_Zambia,MG708744,Scleria_welwitschii_MG708744_Zambia
SC121,Scleria,williamsii, Rivero E. 445, Bolivia,GENT,LN886851,Scleria_williamsii_LN886851_Bolivia,LN887078,Scleria_williamsii_LN887078_Bolivia,LN886962,Scleria_williamsii_LN886962_Bolivia
SC014,Scleria,woodii,Goetghebeur P. 4493,South Africa,GENT,MG708511,Scleria_woodii_MG708511_South_Africa,MG708756,Scleria_woodii_MG708756_South_Africa,MG708640,Scleria_woodii_MG708640_South_Africa
SC030,Scleria,woodii,Reekmans M. 6780,Burundi,GENT,MG708523,Scleria_woodii_MG708523_Burundi,MG708764,Scleria_woodii_MG708764_Burundi,MG708650,Scleria_woodii_MG708650_Burundi
SC042,Scleria,woodii,Dyer M.E. 753,Nigeria,GENT,LN886816,Scleria_woodii_LN886816_Nigeria,LN887045,Scleria_woodii_LN887045_Nigeria,LN886927,Scleria_woodii_LN886927_Nigeria
SC169,Scleria,woodii,Dyer M.E. 753,Nigeria,GENT,MG708540,Scleria_woodii_MG708540_Nigeria,MG708779,Scleria_woodii_MG708779_Nigeria,MG708666,Scleria_woodii_MG708666_Nigeria
SC317,Scleria,woodii,Goetghebeur 5030,Cameroon,GENT,MG708572,Scleria_woodii_MG708572_Cameroon,MG708810,Scleria_woodii_MG708810_Cameroon,MG708700,Scleria_woodii_MG708700_Cameroon
SC326,Scleria,woodii,S. Bidgood et al. 5202,Tanzania,GENT,MG708577,Scleria_woodii_MG708577_Tanzania,MG708815,Scleria_woodii_MG708815_Tanzania,MG708704,Scleria_woodii_MG708704_Tanzania
SC335,Scleria,zambesica,E.A. Robinson 6578,Zambia,NY,MG708582,Scleria_zambesica_MG708582_Zambia,MG708820,Scleria_zambesica_MG708820_Zambia,MG708708,Scleria_zambesica_MG708708_Zambia
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
